Sale Date,Reciept Id,Customer ID,Customer First Name,Customer Surname,Staff ID,Staff First Name,Staff Surname,Staff office,Office Location,Reciept Transaction Row ID,Item ID,Item Description,Item Quantity,Item Price,Row Total
1/01/2017,50008,C60,Steven,Thomas,S5,Stephanie,Watson,1,Newcastle,1,11,Grinder,4,69.9,279.6
1/01/2017,50008,C60,Steven,Thomas,S5,Stephanie,Watson,1,Newcastle,2,12,Glue,10,3.95,39.5
1/01/2017,50008,C60,Steven,Thomas,S5,Stephanie,Watson,1,Newcastle,3,4,Box of Nails,5,10.95,54.75
1/01/2017,50008,C60,Steven,Thomas,S5,Stephanie,Watson,1,Newcastle,4,18,Garden Hose,1,22.5,22.5
1/01/2017,50008,C60,Steven,Thomas,S5,Stephanie,Watson,1,Newcastle,5,14,Square,4,25.5,102
1/01/2017,50008,C60,Steven,Thomas,S5,Stephanie,Watson,1,Newcastle,6,29,Drill Driver Flat Head,6,4.45,26.7
1/01/2017,50061,C46,Jessica,Flores,S3,Amber,Hill,1,Newcastle,1,19,Drill Bit 2 mm,3,3,9
1/01/2017,50061,C46,Jessica,Flores,S3,Amber,Hill,1,Newcastle,2,28,Drill Driver Phillips head,6,4.45,26.7
1/01/2017,50061,C46,Jessica,Flores,S3,Amber,Hill,1,Newcastle,3,5,Tape Measure,10,8.95,89.5
1/01/2017,50061,C46,Jessica,Flores,S3,Amber,Hill,1,Newcastle,4,13,Ruler,9,21.9,197.1
1/01/2017,50061,C46,Jessica,Flores,S3,Amber,Hill,1,Newcastle,5,16,Socket Set,2,79.95,159.9
1/01/2017,50061,C46,Jessica,Flores,S3,Amber,Hill,1,Newcastle,6,12,Glue,6,3.95,23.7
1/01/2017,50061,C46,Jessica,Flores,S3,Amber,Hill,1,Newcastle,7,4,Box of Nails,3,10.95,32.85
1/01/2017,50061,C46,Jessica,Flores,S3,Amber,Hill,1,Newcastle,8,9,Box of Screws,7,12.5,87.5
1/01/2017,51500,C5,Cody,Cox,S20,Dylan,Hall,1,Newcastle,1,20,Drill Bit 3 mm,4,3,12
1/01/2017,51500,C5,Cody,Cox,S20,Dylan,Hall,1,Newcastle,2,2,Screwdriver Set,8,45,360
1/01/2017,51500,C5,Cody,Cox,S20,Dylan,Hall,1,Newcastle,3,20,Drill Bit 3 mm,1,3,3
1/01/2017,51500,C5,Cody,Cox,S20,Dylan,Hall,1,Newcastle,4,16,Socket Set,3,79.95,239.85
1/01/2017,51500,C5,Cody,Cox,S20,Dylan,Hall,1,Newcastle,5,6,Paint Roller Kit,9,12,108
1/01/2017,51858,C40,Kelly,Bell,S14,Noah,Brooks,1,Newcastle,1,6,Paint Roller Kit,10,12,120
1/01/2017,52305,C56,Chloe,Price,S10,Jonathan,Jenkins,1,Newcastle,1,14,Square,2,25.5,51
1/01/2017,52305,C56,Chloe,Price,S10,Jonathan,Jenkins,1,Newcastle,2,25,Drill Bit 8 mm,6,3.75,22.5
1/01/2017,52305,C56,Chloe,Price,S10,Jonathan,Jenkins,1,Newcastle,3,18,Garden Hose,7,22.5,157.5
1/01/2017,52316,C50,Noah,Williams,S12,Leah,Harris,1,Newcastle,1,8,Hacksaw,6,9.5,57
1/01/2017,52316,C50,Noah,Williams,S12,Leah,Harris,1,Newcastle,2,17,Punch,1,12,12
1/01/2017,52316,C50,Noah,Williams,S12,Leah,Harris,1,Newcastle,3,8,Hacksaw,10,9.5,95
1/01/2017,52316,C50,Noah,Williams,S12,Leah,Harris,1,Newcastle,4,12,Glue,4,3.95,15.8
1/01/2017,52316,C50,Noah,Williams,S12,Leah,Harris,1,Newcastle,5,28,Drill Driver Phillips head,4,4.45,17.8
1/01/2017,52316,C50,Noah,Williams,S12,Leah,Harris,1,Newcastle,6,17,Punch,5,12,60
1/01/2017,52316,C50,Noah,Williams,S12,Leah,Harris,1,Newcastle,7,12,Glue,9,3.95,35.55
1/01/2017,52316,C50,Noah,Williams,S12,Leah,Harris,1,Newcastle,8,25,Drill Bit 8 mm,6,3.75,22.5
1/01/2017,52348,C3,Audrey,Gutierrez,S10,Jonathan,Jenkins,1,Newcastle,1,5,Tape Measure,1,8.95,8.95
1/01/2017,52348,C3,Audrey,Gutierrez,S10,Jonathan,Jenkins,1,Newcastle,2,7,Mitre Saw,10,15,150
1/01/2017,52348,C3,Audrey,Gutierrez,S10,Jonathan,Jenkins,1,Newcastle,3,4,Box of Nails,6,10.95,65.7
1/01/2017,52348,C3,Audrey,Gutierrez,S10,Jonathan,Jenkins,1,Newcastle,4,24,Drill Bit 7 mm,10,3.5,35
1/01/2017,52348,C3,Audrey,Gutierrez,S10,Jonathan,Jenkins,1,Newcastle,5,25,Drill Bit 8 mm,1,3.75,3.75
1/01/2017,52348,C3,Audrey,Gutierrez,S10,Jonathan,Jenkins,1,Newcastle,6,11,Grinder,6,69.9,419.4
1/01/2017,52348,C3,Audrey,Gutierrez,S10,Jonathan,Jenkins,1,Newcastle,7,17,Punch,8,12,96
1/01/2017,52348,C3,Audrey,Gutierrez,S10,Jonathan,Jenkins,1,Newcastle,8,19,Drill Bit 2 mm,3,3,9
2/01/2017,50751,C22,Paul,Brooks,S3,Amber,Hill,1,Newcastle,1,3,Axe,6,18.95,113.7
2/01/2017,50767,C47,Olivia,King,S8,Michelle,Miller,1,Newcastle,1,10,Cordless Drill Kit,6,149.9,899.4
2/01/2017,50767,C47,Olivia,King,S8,Michelle,Miller,1,Newcastle,2,3,Axe,3,18.95,56.85
2/01/2017,50767,C47,Olivia,King,S8,Michelle,Miller,1,Newcastle,3,14,Square,4,25.5,102
2/01/2017,50767,C47,Olivia,King,S8,Michelle,Miller,1,Newcastle,4,19,Drill Bit 2 mm,3,3,9
2/01/2017,51005,C12,Dylan,Ross,S7,Molly,Jackson,1,Newcastle,1,5,Tape Measure,2,8.95,17.9
2/01/2017,51005,C12,Dylan,Ross,S7,Molly,Jackson,1,Newcastle,2,25,Drill Bit 8 mm,10,3.75,37.5
2/01/2017,51005,C12,Dylan,Ross,S7,Molly,Jackson,1,Newcastle,3,15,Picture Hook,10,8.95,89.5
2/01/2017,51005,C12,Dylan,Ross,S7,Molly,Jackson,1,Newcastle,4,20,Drill Bit 3 mm,4,3,12
2/01/2017,51005,C12,Dylan,Ross,S7,Molly,Jackson,1,Newcastle,5,2,Screwdriver Set,7,45,315
2/01/2017,51005,C12,Dylan,Ross,S7,Molly,Jackson,1,Newcastle,6,24,Drill Bit 7 mm,7,3.5,24.5
2/01/2017,51092,C4,Isaiah,Myers,S4,Robert,Wood,1,Newcastle,1,23,Drill Bit 6 mm,7,3.5,24.5
2/01/2017,51092,C4,Isaiah,Myers,S4,Robert,Wood,1,Newcastle,2,7,Mitre Saw,3,15,45
2/01/2017,51092,C4,Isaiah,Myers,S4,Robert,Wood,1,Newcastle,3,3,Axe,10,18.95,189.5
2/01/2017,51092,C4,Isaiah,Myers,S4,Robert,Wood,1,Newcastle,4,3,Axe,10,18.95,189.5
2/01/2017,51092,C4,Isaiah,Myers,S4,Robert,Wood,1,Newcastle,5,30,Drill Driver Hex head,2,4.45,8.9
2/01/2017,51092,C4,Isaiah,Myers,S4,Robert,Wood,1,Newcastle,6,7,Mitre Saw,4,15,60
2/01/2017,51092,C4,Isaiah,Myers,S4,Robert,Wood,1,Newcastle,7,10,Cordless Drill Kit,2,149.9,299.8
2/01/2017,51506,C45,Caroline,Gomez,S2,Joseph,Reed,1,Newcastle,1,17,Punch,4,12,48
2/01/2017,51506,C45,Caroline,Gomez,S2,Joseph,Reed,1,Newcastle,2,21,Drill Bit 4 mm,9,3.25,29.25
2/01/2017,51916,C25,Will,Stewart,S17,Daniel,Baker,1,Newcastle,1,10,Cordless Drill Kit,3,149.9,449.7
2/01/2017,51916,C25,Will,Stewart,S17,Daniel,Baker,1,Newcastle,2,7,Mitre Saw,1,15,15
